id,split,V,A,D,text
110CYL068_1036_1079,train,3.0,3.0,3.2,"Remember what she said in my last letter? """
110CYL068_1079_1110,test,2.8,3.1,2.8,If I wasn't working here.
110CYL068_1127_1130,train,3.0,3.0,3.0,".."""
110CYL068_1137_1188,train,3.44,3.0,3.22,Goodwill helps people get off of public assistance.
110CYL068_1189_1328,train,3.55,3.27,3.46,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.
110CYL068_1475_1558,train,3.6,3.3,3.8,Coming to Goodwill was the first step toward my becoming totally independent.
110CYL068_1559_1601,train,3.0,3.0,3.1,"I am now... totally off of welfare."""
110CYL068_1608_1658,train,3.1,3.1,3.1,Goodwill prepares people for life-long employment.
110CYL068_163_275,train,3.25,2.88,3.0,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli."
110CYL068_1659_1810,train,3.25,3.0,3.25,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.
110CYL068_1811_1946,dev,3.25,2.88,3.12,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """
110CYL068_18_24,train,3.0,2.62,3.0,"Dear ,"
110CYL068_1946_1997,test,3.27,3.36,3.36,"I've got more than a job; I've got a career."""
110CYL068_2040_2141,train,3.57,3.29,3.29,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """
110CYL068_2141_2194,train,2.88,3.0,3.25,I rode a bike to Goodwill in the rain and snow.
110CYL068_2195_2216,train,2.7,3.3,2.9,I wanted to be there.
110CYL068_2216_2266,train,3.5,3.5,3.75,"..I had my second chance to change my life."""
110CYL068_2273_2373,train,3.63,3.25,3.37,Your gift to Goodwill will help the many people who want to tell their own stories of success.
110CYL068_2374_2413,train,3.7,3.4,3.3,Your support will help them go to work.
110CYL068_2420_2501,train,3.5,3.4,3.2,Please use the enclosed envelope to give a generous gift to Goodwill today!
110CYL068_2508_2518,train,3.14,2.86,3.14,"Sincerely,"
110CYL068_2525_2582,train,3.1,2.5,3.2,"William A Carter, Chairman Goodwill Industries Foundation"
110CYL068_2589_2593,train,3.0,2.43,3.0,P.S.
110CYL068_2594_2642,train,3.5,2.87,3.25,Your gift is a wise investment in the community.
110CYL068_2643_2750,train,3.88,3.37,3.38,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102."
110CYL068_2751_2841,train,3.25,3.12,3.25,"That money was then spent in a variety of ways, adding fuel to our thriving economy."
110CYL068_276_386,dev,3.7,3.1,3.3,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars."
110CYL068_31_156,train,3.4,3.0,3.1,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.
110CYL068_387_522,train,3.37,3.18,3.37,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million."
110CYL068_523_653,train,3.6,2.9,3.4,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.
110CYL068_660_695,train,3.0,2.55,2.82,What kind of work does Goodwill do?
110CYL068_702_771,train,3.29,3.0,3.0,Goodwill finds jobs for people with mental and physical disabilities.
110CYL068_778_1035,train,3.43,3.29,3.29,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society."
110CYL069_1152_1284,train,3.6,3.2,3.2,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:"
110CYL069_1285_1401,train,3.4,3.2,3.0,"The business community welcomes not only another worker, but a consumer with increased purchasing power."
110CYL069_1402_1477,train,3.0,2.9,3.2,Parents act as role models of self-sufficiency instead of dependency.
110CYL069_1478_1554,train,3.12,3.0,3.0,Tax dollars that would have been spent on public assistance are saved.
110CYL069_1561_1631,train,2.7,2.8,3.4,You and I know that solutions to difficult problems don't just happen.
110CYL069_1638_1786,train,3.8,3.4,3.3,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:"
110CYL069_1793_1857,dev,3.0,2.62,3.12,A Goodwill staff member addresses a group of welfare recipients:
110CYL069_1858_1935,dev,3.0,2.86,3.29,"""You can earn the money to support yourself and your family,"" she says."
110CYL069_18_35,train,3.1,3.1,3.1,"November 15, 1996"
110CYL069_1936_1967,train,3.0,3.1,3.2,"""You can get off welfare."
110CYL069_1968_1985,train,3.12,3.0,3.37,I know you can...
110CYL069_1986_1993,train,3.1,3.1,3.2,"I did."""
110CYL069_2000_2165,train,3.0,2.86,3.14,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.
110CYL069_207_260,train,2.82,2.73,3.27,His job objectives call for him to do it in 30.
110CYL069_2166_2322,train,3.46,3.55,3.18,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years."
110CYL069_2329_2471,train,3.27,3.09,3.18,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs."
110CYL069_2552_2596,train,3.09,2.91,3.0,At the next corner he tells five more.
110CYL069_2603_2727,train,3.11,2.89,3.0,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division."
110CYL069_267_291,test,2.86,3.29,3.29,He has no time to waste.
110CYL069_2728_2826,train,2.62,2.88,2.88,It takes a long time for him to gain the self-confidence to work elsewhere in the community.
110CYL069_2833_2895,train,3.11,3.0,3.22,"Eventually, he turns your support into a payoff for all of us."
110CYL069_2896_2948,dev,3.5,3.17,3.33,He proudly leaves Goodwill to support himself.
110CYL069_2955_2997,train,3.25,3.12,3.5,These people and their successes are real.
110CYL069_298_312,train,3.0,3.0,3.2,Neither do we.
110CYL069_2998_3069,train,3.0,2.8,3.1,Just like the respect we've earned from U.S. News & World Report.
110CYL069_313_453,test,3.4,3.1,3.4,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society."
110CYL069_3141_3151,train,3.0,3.1,3.2,Real work.
110CYL069_3152_3165,test,3.0,2.6,3.1,Real results.
110CYL069_3166_3231,train,3.1,3.2,3.1,A real difference in people's lives -- in all of our lives.
110CYL069_3238_3328,train,3.12,3.25,3.38,The people who can benefit most directly from your generosity have no time to waste.
110CYL069_3329_3408,train,3.56,3.11,3.11,Neither do the rest of us who feel the positive results of their success.
110CYL069_3409_3451,test,3.4,2.9,3.0,Your support helps provide real solutions.
110CYL069_3458_3552,dev,3.0,3.0,3.0,Please use the enclosed response card and envelope to give generously to Goodwill today.
110CYL069_3559_3569,dev,3.1,2.9,3.0,"Sincerely,"
110CYL069_3590_3635,train,3.0,2.75,3.0,Jack Dustman Board Member and Former Chairman
110CYL069_460_512,train,3.29,3.29,3.57,We don't waste time as we are helping the community.
110CYL069_513_544,train,3.1,3.0,3.5,And we don't waste money.
110CYL069_545_682,test,3.2,3.0,2.9,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs."
110CYL069_689_842,train,3.57,3.43,3.29,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys."""
110CYL069_69_206,train,3.4,3.1,3.4,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes."
110CYL069_843_964,train,3.4,3.1,3.3,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable."""
110CYL069_971_1145,train,2.9,3.3,3.1,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us."
110CYL070_1013_1100,train,2.9,3.1,3.1,And there are a lot of people who face these challenges every day of their lives.
110CYL070_1101_1127,train,3.14,3.0,3.29,So our work must continue.
110CYL070_1134_1181,train,3.5,2.9,3.1,Everyone benefits from the work we do together.
110CYL070_1182_1214,train,2.9,3.1,3.1,Many people need our help.
110CYL070_1221_1263,train,3.0,3.0,3.0,Please continue our important partnership.
110CYL070_1264_1318,train,3.14,3.0,3.29,Support Goodwill with a generous donation today.
110CYL070_1325_1335,dev,3.0,2.3,2.8,"Sincerely,"
110CYL070_1342_1371,test,3.0,2.75,3.12,James M. McClelland President
110CYL070_135_187,train,3.7,3.1,3.4,We've helped people break free of the welfare cycle.
110CYL070_188_263,train,3.38,3.25,3.38,We've found ways for people with disabilities to enter the workforce.
110CYL070_18_35,train,3.0,2.7,2.9,"December 10, 1996"
110CYL070_264_371,train,3.4,3.1,3.1,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.
110CYL070_378_418,train,3.1,3.1,3.1,"Of course, we've played different roles."
110CYL070_419_498,train,3.6,2.9,3.1,You have helped make Goodwill's work possible with your previous support.
110CYL070_42_72,dev,3.0,3.0,3.0,Dear Mailhouse donor reminder:
110CYL070_499_580,train,3.2,2.8,3.0,Goodwill has devised the programs that turned your investment into results.
110CYL070_587_626,dev,3.0,3.4,3.1,Who has benefited from our partnership?
110CYL070_627_640,train,2.9,3.1,3.1,Everyone has.
110CYL070_641_833,train,3.6,3.0,3.5,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer."
110CYL070_79_128,train,3.6,3.1,3.1,You and I have done some important work together.
110CYL070_840_1012,train,2.67,2.89,3.11,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem."
110CYL071_1114_1167,test,3.78,3.33,3.33,"At last, he has found success in a job that he loves."
110CYL071_1168_1224,train,3.1,3.1,3.1,Now his goals are set on moving up in the company.
110CYL071_1231_1280,train,3.12,3.25,3.12,"Every year, thousands of people come to Goodwill."
110CYL071_1281_1339,train,2.86,3.29,3.14,"Like Michael, they share two common characteristics."
110CYL071_1340_1405,train,3.0,2.7,3.0,They face some barrier to employment and they want to work.
110CYL071_1412_1547,train,3.38,3.5,3.63,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it."
110CYL071_1548_1607,train,3.38,3.0,3.12,And then the pay-off begins for the entire community.
110CYL071_1720_1830,train,3.4,3.1,3.0,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million."
110CYL071_175_239,train,3.3,3.3,3.1,Michael Sims felt that way at age 39 -- the day he earned a job.
110CYL071_1837_1955,test,3.7,2.9,3.3,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.
110CYL071_18_35,train,3.0,2.2,2.8,"November 15, 1994"
110CYL071_1962_2031,test,3.0,2.38,3.38,"The savings are counted in more ways than dollars and cents, however."
110CYL071_2038_2263,train,3.2,2.9,3.0,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness."
110CYL071_2270_2322,train,3.0,3.3,3.1,Won't you help make all of these successes possible?
110CYL071_2323_2391,dev,2.8,2.8,3.3,Please send the largest contribution you can comfortably make.
110CYL071_2392_2518,test,3.6,3.2,3.1,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.
110CYL071_246_283,test,2.14,3.14,2.86,Michael was born with cerebral palsy.
110CYL071_2525_2535,train,3.25,3.0,3.0,"Sincerely,"
110CYL071_2542_2571,train,3.0,3.0,3.0,James M. McClelland President
110CYL071_2578_2582,train,3.0,2.9,3.0,P.S.
110CYL071_2583_2616,train,3.64,3.37,3.45,Your gift will make a difference.
110CYL071_2617_2795,train,3.6,3.2,3.2,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments."
110CYL071_284_391,dev,3.3,3.2,3.0,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities."
110CYL071_398_457,train,3.0,2.8,3.1,For several years he performed packaging and clerical work.
110CYL071_42_48,train,3.0,3.0,3.0,"Dear ,"
110CYL071_458_550,test,2.38,3.0,2.88,His most recent job lasted only a year before cut-backs eliminated his position.
110CYL071_557_605,train,2.22,3.11,2.89,For 18 long months Michael could not find a job.
110CYL071_55_94,train,3.44,3.0,3.33,Think of your greatest accomplishments.
110CYL071_606_664,test,2.7,3.1,3.1,He resorted to public assistance dollars to survive.
110CYL071_665_698,test,3.1,3.1,3.0,"Finally, Michael called Goodwill."
110CYL071_705_892,train,3.6,3.1,3.1,"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine."
110CYL071_899_985,train,3.6,3.0,3.2,"After three interviews, Michael proved that he was the right person for the job."
110CYL071_95_168,train,4.0,3.6,3.2,Think of the joy and success they bring to you and your loved ones.
110CYL071_986_1107,dev,3.1,2.7,3.0,"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night."
110CYL072_130_264,train,2.6,3.0,2.8,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.
110CYL072_18_123,train,3.0,2.8,2.9,Some of the strongest critics of our welfare system are the people who have become dependent on it.
110CYL072_271_313,train,3.1,3.0,3.3,That's where you --and Goodwill --come in.
110CYL072_314_412,train,3.25,2.87,2.87,We help people train for and find jobs that make it possible for them to get off of welfare.
110CYL072_413_518,train,3.8,3.3,3.2,"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993."
110CYL072_525_641,train,2.7,3.1,2.9,"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering."
110CYL072_642_721,train,3.1,2.8,3.1,We need your support to continue getting people off of public assistance.
110CYL072_728_754,train,2.9,3.0,3.0,Welfare is not the answer.
110CYL072_755_835,train,2.8,3.0,2.8,And welfare reform is an uncertain solution with an unknown starting date.
110CYL072_836_851,train,3.87,3.25,3.5,Goodwill works.
110CYL072_852_862,train,2.86,3.0,3.43,Right now.
110CYL072_869_924,train,3.2,3.0,3.0,Please give the largest gift you can to Goodwill today.
110CYL072_931_969,train,3.0,2.8,3.0,"Sincerely, Jack Dustman Chairman"
110CYL200_1290_1428,dev,2.3,3.0,2.8,"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment."
110CYL200_1569_1610,train,2.9,2.9,3.0,"Some, like Jerry, are ex-offenders."
110CYL200_1611_1668,test,2.57,3.0,3.0,"Some are blind, deaf or have other physical disabilities."
110CYL200_1675_1703,train,2.2,3.0,2.7,More than 100 were homeless.
110CYL200_1710_1804,train,3.4,3.3,3.2,"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry."
110CYL200_1805_2047,train,3.5,3.1,3.4,"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community."
110CYL200_18_32,train,3.0,2.9,3.1,"March 17, 2000"
110CYL200_2048_2113,dev,3.0,2.8,2.9,"For as long as he needs it, Goodwill will continue to help."
110CYL200_210_382,train,2.7,3.1,2.9,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path."
110CYL200_2120_2281,train,3.5,2.8,3.1,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.
110CYL200_2282_2388,train,3.43,2.57,2.86,"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job."
110CYL200_2395_2491,train,3.29,2.86,3.29,Please make an investment in the stability of our community by sending a gift to Goodwill.
110CYL200_2492_2541,train,3.56,3.33,3.0,Your generosity will help people help themselves.
110CYL200_2548_2558,test,3.22,3.11,3.11,"Sincerely,"
110CYL200_2565_2594,train,3.0,2.7,3.0,James M. McClelland President
110CYL200_389_480,train,2.0,3.5,2.38,Reality hit when he was unable to reconcile with his wife and ended up on the street.
110CYL200_39_65,train,3.0,2.5,3.1,"Name Address City, ST, Zip"
110CYL200_481_588,test,3.0,3.0,3.0,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.
110CYL200_589_724,train,3.2,3.0,3.0,The Trustee referred him to the Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance.
110CYL200_72_82,dev,3.0,2.6,3.1,Dear Name:
110CYL200_731_787,train,3.3,3.0,3.0,Jerry's Goodwill caseworker found him a job immediately.
110CYL200_788_832,train,2.5,3.25,3.0,But Jerry's troubles didn't end there.
110CYL200_833_946,train,2.89,3.0,3.0,"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more."
110CYL200_89_209,train,3.0,2.57,3.57,"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life."
